pathogen,PathogenID,PathogenTaxID,pc1,pc2,Host,HostID,HostTaxID,HType,Hc1,Hc2,papersNO,seqNO
psittaciform 1 bornavirus,26200966,1548713,virus,virus,grus monacha,3461495,40818,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,guaruba guarouba,3480712,51906,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,haliaeetus pelagicus,3482057,52647,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,larus schistisagus,3597158,119607,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,mareca penelope,3432282,8838,host,aves,aves,NULL,2
psittaciform 1 bornavirus,26200966,1548713,virus,virus,mareca penelope,3432282,8838,host,aves,aves,NULL,4
psittaciform 1 bornavirus,26200966,1548713,virus,virus,melopsittacus undulatus,3438183,13146,host,aves,aves,NULL,2
psittaciform 1 bornavirus,26200966,1548713,virus,virus,melopsittacus undulatus,3438183,13146,host,aves,aves,NULL,8
psittaciform 1 bornavirus,26200966,1548713,virus,virus,nestor notabilis,3648361,176057,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,nymphicus hollandicus,3438222,13180,host,aves,aves,2,2
psittaciform 1 bornavirus,26200966,1548713,virus,virus,pionus maximiliani,3760691,303305,host,aves,aves,NULL,1
psittaciform 1 bornavirus,26200966,1548713,virus,virus,pionus menstruus,3438257,13214,host,aves,aves,NULL,1
