pathogen,PathogenID,PathogenTaxID,pc1,pc2,Host,HostID,HostTaxID,HType,Hc1,Hc2,papersNO,seqNO
porcine stool-associated circular virus 8,27871129,1537167,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
porcine stool-associated circular virus 9,27871131,1537168,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,3
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,4
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,5
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,6
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,18
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,1,3
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,1,12
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,4,3
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,9,2
porcine teschovirus,3595892,118140,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,30,119
porcine torovirus,3704110,237020,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,9,93
porcine type-c oncovirus,3821375,369960,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,2
porcine type-c oncovirus,3821375,369960,virus,virus,phacochoerus africanus,3462605,41426,host,suina,mammals,1,8
porcine type-c oncovirus,3821375,369960,virus,virus,potamochoerus larvatus,3737206,273792,host,suina,mammals,1,3
porcine type-c oncovirus,3821375,369960,virus,virus,sus barbatus,3463278,41807,host,suina,mammals,NULL,8
porcine type-c oncovirus,3821375,369960,virus,virus,sus barbatus,3463278,41807,host,suina,mammals,NULL,20
porcine type-c oncovirus,3821375,369960,virus,virus,sus celebensis,3737203,273789,host,suina,mammals,NULL,6
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,1
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,2
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,5
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,1,5
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,2,1
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,7,12
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,24,13
porcine type-c oncovirus,3821375,369960,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,244,74
porcine type-c oncovirus,3821375,369960,virus,virus,sus verrucosus,3633428,159856,host,suina,mammals,NULL,15
porcupine caribou gammaherpesvirus 1,27708923,1834532,virus,virus,rangifer tarandus,3434031,9870,host,ruminants,mammals,NULL,1
porcupine caribou gammaherpesvirus 2,27708925,1834533,virus,virus,rangifer tarandus,3434031,9870,host,ruminants,mammals,NULL,1
posavirus 1,27217050,1105380,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,3
posavirus 1,27217050,1105380,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,17
posavirus 2,27217052,1105381,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,2
posavirus 3,27392358,1663127,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,3
poscv kor j481,27785391,1488557,virus,virus,sus scrofa,3433956,9823,host,suina,mammals,NULL,2
possum adenovirus a,3599191,121816,virus,virus,trichosurus vulpecula,3433135,9337,host,marsupials,mammals,NULL,2
possum adenovirus a,3599191,121816,virus,virus,trichosurus vulpecula,3433135,9337,host,marsupials,mammals,NULL,4
possum nidovirus,27220424,1118369,virus,virus,trichosurus vulpecula,3433135,9337,host,marsupials,mammals,NULL,1
powassan virus,3435882,11083,virus,virus,homo sapiens,3433574,9606,host,human,mammals,4,13
powassan virus,3435882,11083,virus,virus,lepus americanus,3474224,48086,host,rabbits and hares,mammals,6,NULL
powassan virus,3435882,11083,virus,virus,marmota monax,3434217,9995,host,rodents,mammals,8,NULL
powassan virus,3435882,11083,virus,virus,peromyscus leucopus,3434293,10041,host,rodents,mammals,5,NULL
powassan virus,3435882,11083,virus,virus,schoeniclus spodocephala,3602236,125294,host,aves,aves,NULL,1
prairie vole hantavirus,3455803,37477,virus,virus,microtus ochrogaster,3528861,79684,host,rodents,mammals,NULL,2
prairie vole hantavirus,3455803,37477,virus,virus,peromyscus leucopus,3434293,10041,host,rodents,mammals,NULL,1
prairie vole hantavirus,3455803,37477,virus,virus,sigmodon hispidus,3464368,42415,host,rodents,mammals,NULL,2
primate astrovirus,26205652,1736109,virus,virus,chlorocebus pygerythrus,3496402,60710,host,primates,mammals,NULL,1
primate astrovirus,26205652,1736109,virus,virus,hoolock hoolock,3498331,61851,host,primates,mammals,NULL,1
primate astrovirus,26205652,1736109,virus,virus,macaca fascicularis,3433477,9541,host,primates,mammals,NULL,5
primate astrovirus,26205652,1736109,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,NULL,54
primate astrovirus,26205652,1736109,virus,virus,papio anubis,3433500,9555,host,primates,mammals,NULL,1
primate astrovirus,26205652,1736109,virus,virus,papio hamadryas,3433504,9557,host,primates,mammals,NULL,1
primate astrovirus,26205652,1736109,virus,virus,semnopithecus entellus,3543630,88029,host,primates,mammals,NULL,3
primate astrovirus,26205652,1736109,virus,virus,trachypithecus pileatus,3637880,164651,host,primates,mammals,NULL,2
primate bocaparvovirus 1,26205402,1511871,virus,virus,pan troglodytes,3433558,9598,host,primates,mammals,1,1
primate erythroparvovirus 1,26205642,1511900,virus,virus,homo sapiens,3433574,9606,host,human,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercocebus agilis,3720461,255237,host,primates,mammals,NULL,10
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercocebus atys,3433457,9531,host,primates,mammals,NULL,40
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercocebus torquatus,3433455,9530,host,primates,mammals,NULL,3
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercopithecus ascanius,3453696,36223,host,primates,mammals,NULL,6
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercopithecus cephus,3433465,9535,host,primates,mammals,NULL,10
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercopithecus mitis,3453700,36225,host,primates,mammals,NULL,7
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercopithecus neglectus,3453703,36227,host,primates,mammals,NULL,4
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercopithecus nictitans,3453705,36228,host,primates,mammals,NULL,26
primate t-lymphotropic virus 1,3665273,194440,virus,virus,cercopithecus pogonias,3568533,102108,host,primates,mammals,NULL,6
primate t-lymphotropic virus 1,3665273,194440,virus,virus,chlorocebus aethiops,3433463,9534,host,primates,mammals,NULL,12
primate t-lymphotropic virus 1,3665273,194440,virus,virus,gorilla gorilla,3433550,9593,host,primates,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,gorilla gorilla,3433550,9593,host,primates,mammals,NULL,4
primate t-lymphotropic virus 1,3665273,194440,virus,virus,homo sapiens,3433574,9606,host,human,mammals,2184,3435
primate t-lymphotropic virus 1,3665273,194440,virus,virus,lophocebus albigena,3521419,75567,host,primates,mammals,NULL,2
primate t-lymphotropic virus 1,3665273,194440,virus,virus,macaca arctoides,3433475,9540,host,primates,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,macaca cyclopis,3526691,78449,host,primates,mammals,NULL,2
primate t-lymphotropic virus 1,3665273,194440,virus,virus,macaca fascicularis,3433477,9541,host,primates,mammals,1,3
primate t-lymphotropic virus 1,3665273,194440,virus,virus,macaca maura,3547765,90383,host,primates,mammals,NULL,3
primate t-lymphotropic virus 1,3665273,194440,virus,virus,macaca mulatta,3433483,9544,host,primates,mammals,1,6
primate t-lymphotropic virus 1,3665273,194440,virus,virus,macaca nemestrina,3433485,9545,host,primates,mammals,NULL,2
primate t-lymphotropic virus 1,3665273,194440,virus,virus,mandrillus sphinx,3433506,9561,host,primates,mammals,NULL,42
primate t-lymphotropic virus 1,3665273,194440,virus,virus,pan troglodytes,3433558,9598,host,primates,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,pan troglodytes,3433558,9598,host,primates,mammals,NULL,19
primate t-lymphotropic virus 1,3665273,194440,virus,virus,pan troglodytes,3433558,9598,host,primates,mammals,NULL,34
primate t-lymphotropic virus 1,3665273,194440,virus,virus,papio anubis,3433500,9555,host,primates,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,papio anubis,3433500,9555,host,primates,mammals,NULL,3
primate t-lymphotropic virus 1,3665273,194440,virus,virus,papio cynocephalus,3433502,9556,host,primates,mammals,NULL,8
primate t-lymphotropic virus 1,3665273,194440,virus,virus,papio hamadryas,3433504,9557,host,primates,mammals,NULL,4
primate t-lymphotropic virus 1,3665273,194440,virus,virus,papio papio,3566460,100937,host,primates,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,piliocolobus badius,3637878,164648,host,primates,mammals,NULL,8
primate t-lymphotropic virus 1,3665273,194440,virus,virus,piliocolobus badius,3637878,164648,host,primates,mammals,NULL,10
primate t-lymphotropic virus 1,3665273,194440,virus,virus,piliocolobus tephrosceles,4010783,591936,host,primates,mammals,NULL,4
primate t-lymphotropic virus 1,3665273,194440,virus,virus,piliocolobus tholloni,4010782,591935,host,primates,mammals,NULL,26
primate t-lymphotropic virus 1,3665273,194440,virus,virus,symphalangus syndactylus,3433546,9590,host,primates,mammals,NULL,1
primate t-lymphotropic virus 1,3665273,194440,virus,virus,theropithecus gelada,3433512,9565,host,primates,mammals,NULL,8
primate t-lymphotropic virus 2,3665274,194441,virus,virus,homo sapiens,3433574,9606,host,human,mammals,380,334
primate t-lymphotropic virus 2,3665274,194441,virus,virus,pan paniscus,3433556,9597,host,primates,mammals,1,6
primate t-lymphotropic virus 3,3665276,194443,virus,virus,allenopithecus nigroviridis,3484751,54135,host,primates,mammals,1,13
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercocebus agilis,3720461,255237,host,primates,mammals,2,14
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercocebus atys,3433457,9531,host,primates,mammals,11,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercocebus torquatus,3433455,9530,host,primates,mammals,5,7
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercopithecus ascanius,3453696,36223,host,primates,mammals,1,11
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercopithecus cephus,3433465,9535,host,primates,mammals,1,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercopithecus denti,25934027,1137511,host,primates,mammals,NULL,1
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercopithecus mitis,3453700,36225,host,primates,mammals,1,8
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercopithecus mona,3453701,36226,host,primates,mammals,2,1
primate t-lymphotropic virus 3,3665276,194443,virus,virus,cercopithecus nictitans,3453705,36228,host,primates,mammals,4,9
primate t-lymphotropic virus 3,3665276,194443,virus,virus,chlorocebus aethiops,3433463,9534,host,primates,mammals,28,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,chlorocebus pygerythrus,3496402,60710,host,primates,mammals,6,NULL
primate t-lymphotropic virus 3,3665276,194443,virus,virus,colobus angolensis,3484744,54131,host,primates,mammals,NULL,2
primate t-lymphotropic virus 3,3665276,194443,virus,virus,homo sapiens,3433574,9606,host,human,mammals,15,3
primate t-lymphotropic virus 3,3665276,194443,virus,virus,hylobates pileatus,3433544,9589,host,primates,mammals,NULL,2
primate t-lymphotropic virus 3,3665276,194443,virus,virus,lophocebus albigena,3521419,75567,host,primates,mammals,NULL,22
